Memphis,MEMP,American,83,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,NAVY,American,80,West,3,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,USF,American,80,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Methodist,SMU,American,78,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple,TEM,American,63,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulane,TUL,American,38,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,TULS,American,39,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,UCON,American,35,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,AKR,MAC,35,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball State,BAL,MAC,28,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling Green,BG,MAC,30,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,BUF,MAC,34,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Michigan,CMU,MAC,75,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Michigan,EMU,MAC,40,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent State,KNST,MAC,30,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami OH,MiOH,MAC,34,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Illinois,NIU,MAC,44,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,OHIO,MAC,44,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,TOL,MAC,44,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Michigan,WMU,MAC,44,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,CHAR,Conf USA,40,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Atl,FAU,Conf USA,84,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Intl,FIU,Conf USA,44,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Tech,LTEC,Conf USA,79,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall,MARS,Conf USA,44,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid Tenn State,MTSU,Conf USA,42,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
North Texas,NTEX,Conf USA,43,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Dominion,ODOM,Conf USA,35,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,RICE,Conf USA,32,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Miss,SMIS,Conf USA,42,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
UAB,UAB,Conf USA,45,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
UT El Paso,UTEP,Conf USA,34,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
UT San Antonio,UTSA,Conf USA,43,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kentucky,WKU,Conf USA,43,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Force,AF,Mt West,82,Mountain,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise State,BOIS,Mt West,84,Mountain,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado State,CSU,Mt West,80,Mountain,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno State,FRES,Mt West,81,West,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,HAW,Mt West,38,West,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,NEV,Mt West,38,West,0,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,NMEX,Mt West,38,Mountain,1,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego State,SDSU,Mt West,78,West,0,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose State,SJSU,Mt West,30,West,0,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLV,UNLV,Mt West,28,West,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah State,UTST,Mt West,50,Mountain,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WYM,Mt West,45,Mountain,0,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian State,APP,Sun Belt,77,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas State,AKS,Sun Belt,33,B,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina,COC,Sun Belt,36,A,5,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Monroe,LMON,Sun Belt,38,B,4,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Lafayette,LALF,Sun Belt,35,B,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy,TROY,Sun Belt,46,A,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas State,TXST,Sun Belt,30,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Southern,GASO,Sun Belt,37,A,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia State,GAST,Sun Belt,27,B,4,,,,,,,,,,,,,,,,,,,,,,,,,,
South Alabama,SAL,Sun Belt,31,B,4,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army,ARMY,Independent,80,INDY,3,,,,,,,,,,,,,,,,,,,,,,,,,,
BYU,BYU,Independent,84,INDY,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty,LIB,Independent,63,INDY,3,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico St,NMST,Independent,38,INDY,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,ND,Independent,91,INDY,2,,,,,,,,,,,,,,,,,,,,,,,,,,
UMass,MASS,Independent,38,INDY,3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_TEAMS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Bowl,Orange Bowl,Sugar Bowl,Fiesta Bowl,Peach Bowl,Cotton Bowl,Citrus Bowl,Gator Bowl,Cactus Bowl,Alamo Bowl,Holiday Bowl,Sun Bowl,Liberty Bowl,Independence Bowl,Vegas Bowl,Military Bowl,Aloha Bowl,Humanitarian Bowl,Outback Bowl,Camping Bowl,Potato Bowl,Music City Bowl,New Orleans Bowl,Texas Bowl,New Mexico Bowl,Arizona Bowl,Frisco Bowl,Cure Bowl,Camellia Bowl,Bahamas Bowl,Birmingham Bowl,First Responder Bowl
[END_BOWL_NAMES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
